Name,Active_Cases,Deaths,Recovery
Seychelles,"51,220",172,"50,765"
Burundi,"54,721",38,"53,569"
Bhutan,"62,697",21,"61,564"
Syria,"57,743","3,165","54,578"
Madagascar,"68,486","1,426","66,862"
Cabo Verde,"64,477",417,"63,755"
Mauritania,"63,839",997,"62,471"
Sudan,"63,993","5,046","57,174"
Guyana,"74,137","1,300","72,013"
Belize,"71,381",688,N/A
Fiji,"69,117",885,"67,226"
Eswatini,"75,191","1,427","73,116"
Suriname,"82,588","1,408",N/A
New Caledonia,"80,064",314,N/A
French Polynesia,"79,254",650,N/A
Ivory Coast,"88,384",835,"87,497"
Senegal,"89,053","1,971","87,024"
French Guiana,"98,041",420,"11,254"
Malawi,"89,535","2,686",N/A
DRC,"99,338","1,468","84,489"
Angola,"1,07,323","1,937","1,03,419"
Channel Islands,"1,01,717",228,"1,01,321"
Barbados,"1,10,575",648,"1,08,647"
Malta,"1,21,410",885,"1,20,133"
Cameroon,"1,25,379","1,974","1,23,280"
Rwanda,"1,33,518","1,468","1,32,039"
Cambodia,"1,39,095","3,056","1,36,037"
Jamaica,"1,56,857","3,748",N/A
Ghana,"1,71,889","1,462","1,70,425"
Uganda,"1,71,983","3,632","1,00,431"
Maldives,"1,86,694",316,"1,63,687"
Namibia,"1,72,280","4,103","1,67,099"
Trinidad and Tobago,"1,91,496","4,390","1,87,078"
Guadeloupe,"2,03,235","1,021",N/A
El Salvador,"2,01,855","4,230","1,79,410"
Laos,"2,18,951",758,N/A
Iceland,"2,09,889",229,N/A
Kyrgyzstan,"2,06,897","2,991","1,96,406"
Martinique,"2,30,354","1,102",N/A
Afghanistan,"2,31,975","7,985","2,10,069"
Mozambique,"2,33,731","2,250","2,28,805"
Uzbekistan,"2,53,662","1,637","2,41,486"
Zimbabwe,"2,66,328","5,737","2,58,888"
Nigeria,"2,67,188","3,155","2,59,953"
Botswana,"3,30,442","2,801","3,27,049"
Algeria,"2,72,010","6,881","1,83,061"
Montenegro,"2,96,492","2,846","2,91,794"
Albania,"3,34,863","3,605","3,30,233"
Brunei ,"3,43,075",225,"2,43,601"
Kenya,"3,44,130","5,689","3,37,309"
Zambia,"3,49,304","4,069","3,41,316"
North Macedonia,"3,50,520","9,971","3,37,068"
Luxembourg,"3,91,117","1,232",N/A
Bosnia and Herzegovina,"4,03,585","16,385","3,79,084"
Oman,"3,99,449","4,628",N/A
Armenia,"4,51,426","8,776","4,35,162"
Honduras,"4,74,590","11,165",N/A
Réunion,"4,94,595",921,N/A
Qatar,"5,14,524",690,"5,13,687"
Ethiopia,"5,01,117","7,574","4,88,171"
Libya,"5,07,274","6,437","5,00,835"
Venezuela,"5,52,695","5,856","5,46,537"
Egypt,"5,16,023","24,613","4,42,182"
Palestine,"6,21,008","5,404","6,15,445"
Estonia,"6,27,820","3,001",N/A
Moldova,"6,34,508","12,206",N/A
Myanmar,"6,41,801","19,495","6,20,159"
Kuwait,"6,67,094","2,570",N/A
Sri Lanka,"6,72,750","16,897","6,55,852"
Dominican Republic,"6,75,890","4,384","6,71,316"
Cyprus,"6,81,110","1,365","5,46,203"
Bahrain,"7,29,549","1,574","7,27,915"
Azerbaijan,"8,34,649","10,400","8,24,089"
Saudi Arabia,"8,41,469","9,646",N/A
Paraguay,"8,37,602","20,155",N/A
Uruguay,"10,41,111","7,664","10,30,944"
Latvia,"9,82,280","6,686","9,71,406"
Belarus,"9,94,037","7,118","9,85,592"
Mongolia,"10,11,459","2,284","10,08,991"
Panama,"10,59,893","8,727","10,51,102"
Nepal,"10,03,450","12,031","9,91,322"
Ecuador,"10,70,188","36,043","9,42,651"
UAE,"10,67,030","2,349",N/A
Cuba,"11,15,243","8,530","11,06,647"
Tunisia,"11,53,361","29,423",N/A
Costa Rica,"12,38,883","9,428",N/A
Lebanon,"12,43,838","10,952","10,87,587"
Morocco,"12,78,944","16,301",N/A
Bolivia,"12,11,716","22,407","11,77,145"
Guatemala,"12,88,588","20,285","12,65,533"
Kazakhstan,"14,11,831","13,848","13,83,020"
Bulgaria,"13,39,528","38,737","12,92,657"
Croatia,"13,09,728","18,687","12,58,432"
Norway,"15,09,732","6,638","14,29,233"
Lithuania,"13,96,787","9,897","13,85,831"
Slovenia,"13,56,465","7,100","13,49,305"
Finland,"15,15,575","11,949","14,57,246"
Ireland,"17,33,755","9,481","2,62,338"
Pakistan,"15,81,936","30,664","15,38,689"
Georgia,"18,55,289","17,132",N/A
Jordan,"17,46,997","14,122","17,31,007"
Slovakia,"18,77,383","21,221","18,44,976"
Bangladesh,"20,48,186","29,488",N/A
Iraq,"24,65,545","25,375","24,39,497"
Hungary,"22,29,987","49,040","21,52,155"
New Zealand,"26,04,202","5,594","25,94,775"
Sweden,"27,53,556","27,354","26,73,923"
Serbia,"26,14,248","18,057","25,23,264"
Hong Kong,"29,30,929","14,640","28,72,188"
Singapore,"30,06,155","2,024","27,07,350"
Denmark,"31,83,756","8,814","31,72,062"
South Africa,"40,76,463","1,02,595","39,12,506"
Romania,"35,27,677","68,903","32,52,104"
DPRK,"47,72,813",74,"47,72,739"
Philippines,"41,40,383","66,864","40,67,381"
Peru,"45,72,667","2,22,161","42,59,024"
Switzerland,"44,51,785","14,452","43,78,012"
Thailand,"47,67,700","34,569","46,92,636"
Czechia,"47,58,683","43,510","47,14,474"
Spain,"1,39,14,811","1,21,760","1,37,62,417"
Belgium,"48,59,804","34,376","44,62,999"
Israel,"48,41,772","12,707","47,98,473"
Russia,"2,40,09,604","4,02,399","2,34,24,670"
Canada,"49,36,603","58,560","39,27,670"
Australia,"1,18,26,396","24,289","1,17,89,903"
Turkey,"1,72,32,066","1,02,174",N/A
Japan,"3,38,03,572","74,694",N/A
UK,"2,49,02,971","2,32,112","2,29,54,691"
S. Korea,"3,45,71,873","35,934","1,71,20,321"
Italy,"2,67,19,511","1,96,348","2,63,51,971"
France,"4,01,38,560","1,67,642","1,58,67,601"
Germany,"3,88,23,286","1,82,694","3,82,40,600"
Brazil,"3,84,52,504","7,09,963","3,62,49,161"
India,"4,50,30,467","5,33,499",N/A
